'Religação BT' , 56
'NULL' , -1
'Religação BT' , 8
'NULL' , -1
'NULL' , -1
'NULL' , -1
'NULL' , -1
'Modif/Manut Mediç BT' , 90
'Religação BT' , 808
'Religação BT' , 179
'SolicitaçãoOuvidoria' , 240
'NULL' , -1
'Religação BT' , 2
'SolicitaçãoOuvidoria' , 74
'NULL' , -1
'Reclamação' , 56
'NULL' , -1
'NULL' , -1
'Verif Instalação BT' , 104
'Substituição BT' , 2
'Religação BT' , 10
'Acompanhamento BT' , 102
'Religação BT' , 28
'NULL' , -1
'Religação BT' , 16
'NULL' , -1
'NULL' , -1
'NULL' , -1
'Reclamação' , 133
'Religação BT' , 26
'Religação BT' , 28
'NULL' , -1
'Religação BT' , 6
'NULL' , -1
'Religação BT' , 23
'Verif Instalação BT' , 72
'Corte BT' , 583
'NULL' , -1
'NULL' , -1
'Religação BT' , 2
'Corte BT' , 266
'NULL' , -1
'Verif Instalação BT' , 280
'NULL' , -1
'NULL' , -1
'NULL' , -1
'NULL' , -1
'Religação BT' , 193
'NULL' , -1
'NULL' , -1
'Religação BT' , 7
'NULL' , -1
'NULL' , -1
'NULL' , -1
'NULL' , -1
'NULL' , -1
'NULL' , -1
'NULL' , -1
'NULL' , -1
'Religação BT' , 3
'NULL' , -1
'Fiscalização BT' , 46
'NULL' , -1
'Reclamação' , 111
'Religação BT' , 172
'NULL' , -1
'Modif/Manut Mediç BT' , 29
'SolicitaçãoOuvidoria' , 35
'SolicitaçãoOuvidoria' , 47
'Reclamação' , 1
'Substituição BT' , 135
'NULL' , -1
'NULL' , -1
'Reclamação' , 115
'Reclamação' , 7
'NULL' , -1
'NULL' , -1
'Religação BT' , 292
'Religação BT' , 35
'Reclamação' , 30
'NULL' , -1
'Religação BT' , 41
'Religação BT' , 2
'Religação BT' , 273
'Religação BT' , 661
'NULL' , -1
'NULL' , -1
'NULL' , -1
'NULL' , -1
'Corte BT' , 3
'Religação BT' , 1051
'Religação BT' , 56
'Religação BT' , 32
'Substituição BT' , 25
'Reclamação' , 73
'NULL' , -1
'NULL' , -1
'NULL' , -1
'Aferição BT' , 24
'Reclamação' , 7
'Aferição BT' , 53
'Religação BT' , 199
'NULL' , -1
'Religação BT' , 3
'Religação BT' , 103
'Corte BT' , 6
'NULL' , -1
'NULL' , -1
'Religação BT' , 134
